buying,maint,doors,persons,trunk,safety,class
vhigh,vhigh,4 a más,more,mediano,high,unacc
vhigh,vhigh,4 a más,more,grande,low,unacc
vhigh,vhigh,4 a más,more,grande,med,unacc
vhigh,vhigh,4 a más,more,grande,high,unacc
vhigh,vhigh,4 a más,2,pequeño,low,unacc
vhigh,vhigh,4 a más,2,pequeño,med,unacc
vhigh,vhigh,4 a más,2,pequeño,high,unacc
vhigh,vhigh,4 a más,2,mediano,low,unacc
vhigh,vhigh,4 a más,2,mediano,med,unacc
vhigh,vhigh,4 a más,2,mediano,high,unacc
vhigh,vhigh,4 a más,2,grande,low,unacc
vhigh,vhigh,4 a más,2,grande,med,unacc
vhigh,vhigh,4 a más,2,grande,high,unacc
vhigh,vhigh,4 a más,4,pequeño,low,unacc
vhigh,vhigh,4 a más,4,pequeño,med,unacc
vhigh,vhigh,4 a más,4,pequeño,high,unacc
vhigh,vhigh,4 a más,4,mediano,low,unacc
vhigh,vhigh,4 a más,4,mediano,med,unacc
vhigh,vhigh,4 a más,4,mediano,high,unacc
vhigh,vhigh,4 a más,4,grande,low,unacc
vhigh,vhigh,4 a más,4,grande,med,unacc
vhigh,vhigh,4 a más,4,grande,high,unacc
vhigh,vhigh,4 a más,more,pequeño,low,unacc
vhigh,vhigh,4 a más,more,pequeño,med,unacc
vhigh,vhigh,4 a más,more,pequeño,high,unacc
vhigh,vhigh,4 a más,more,mediano,low,unacc
vhigh,vhigh,4 a más,more,mediano,med,unacc
vhigh,vhigh,4 a más,more,mediano,high,unacc
vhigh,vhigh,4 a más,more,grande,low,unacc
vhigh,vhigh,4 a más,more,grande,med,unacc
vhigh,vhigh,4 a más,more,grande,high,unacc
vhigh,high,3 a menos,2,pequeño,low,unacc
vhigh,high,3 a menos,2,pequeño,med,unacc
vhigh,high,3 a menos,2,pequeño,high,unacc
vhigh,high,3 a menos,2,mediano,low,unacc
vhigh,high,3 a menos,2,mediano,med,unacc
vhigh,high,3 a menos,2,mediano,high,unacc
vhigh,high,3 a menos,2,grande,low,unacc
vhigh,high,3 a menos,2,grande,med,unacc
vhigh,high,3 a menos,2,grande,high,unacc
vhigh,high,3 a menos,4,pequeño,low,unacc
vhigh,high,3 a menos,4,pequeño,med,unacc
vhigh,high,3 a menos,4,pequeño,high,unacc
vhigh,high,3 a menos,4,mediano,low,unacc
vhigh,high,3 a menos,4,mediano,med,unacc
vhigh,high,3 a menos,4,mediano,high,unacc
vhigh,high,3 a menos,4,grande,low,unacc
vhigh,high,3 a menos,4,grande,med,unacc
vhigh,high,3 a menos,4,grande,high,unacc
vhigh,high,3 a menos,more,pequeño,low,unacc
vhigh,high,3 a menos,more,pequeño,med,unacc
vhigh,high,3 a menos,more,pequeño,high,unacc
vhigh,high,3 a menos,more,mediano,low,unacc
vhigh,high,3 a menos,more,mediano,med,unacc
vhigh,high,3 a menos,more,mediano,high,unacc
vhigh,high,3 a menos,more,grande,low,unacc
vhigh,high,3 a menos,more,grande,med,unacc
vhigh,high,3 a menos,more,grande,high,unacc
vhigh,high,3 a menos,2,pequeño,low,unacc
vhigh,high,3 a menos,2,pequeño,med,unacc
vhigh,high,3 a menos,2,pequeño,high,unacc
vhigh,high,3 a menos,2,mediano,low,unacc
vhigh,high,3 a menos,2,mediano,med,unacc
vhigh,high,3 a menos,2,mediano,high,unacc
vhigh,high,3 a menos,2,grande,low,unacc
vhigh,high,3 a menos,2,grande,med,unacc
vhigh,high,3 a menos,2,grande,high,unacc
vhigh,high,3 a menos,4,pequeño,low,unacc
vhigh,high,3 a menos,4,pequeño,med,unacc
vhigh,high,3 a menos,4,pequeño,high,unacc
vhigh,high,3 a menos,4,mediano,low,unacc
vhigh,high,3 a menos,4,mediano,med,unacc
vhigh,high,3 a menos,4,mediano,high,unacc
vhigh,high,3 a menos,4,grande,low,unacc
vhigh,high,3 a menos,4,grande,med,unacc
vhigh,high,3 a menos,4,grande,high,unacc
vhigh,high,3 a menos,more,pequeño,low,unacc
vhigh,high,3 a menos,more,pequeño,med,unacc
vhigh,high,3 a menos,more,pequeño,high,unacc
vhigh,high,3 a menos,more,mediano,low,unacc
vhigh,high,3 a menos,more,mediano,med,unacc
vhigh,high,3 a menos,more,mediano,high,unacc
vhigh,high,3 a menos,more,grande,low,unacc
vhigh,high,3 a menos,more,grande,med,unacc
vhigh,high,3 a menos,more,grande,high,unacc
vhigh,high,4 a más,2,pequeño,low,unacc
vhigh,high,4 a más,2,pequeño,med,unacc
vhigh,high,4 a más,2,pequeño,high,unacc
vhigh,high,4 a más,2,mediano,low,unacc
vhigh,high,4 a más,2,mediano,med,unacc
vhigh,high,4 a más,2,mediano,high,unacc
vhigh,high,4 a más,2,grande,low,unacc
vhigh,high,4 a más,2,grande,med,unacc
vhigh,high,4 a más,2,grande,high,unacc
vhigh,high,4 a más,4,pequeño,low,unacc
vhigh,high,4 a más,4,pequeño,med,unacc
vhigh,high,4 a más,4,pequeño,high,unacc
vhigh,high,4 a más,4,mediano,low,unacc
vhigh,high,4 a más,4,mediano,med,unacc
vhigh,high,4 a más,4,mediano,high,unacc
vhigh,high,4 a más,4,grande,low,unacc
vhigh,high,4 a más,4,grande,med,unacc
vhigh,high,4 a más,4,grande,high,unacc
vhigh,high,4 a más,more,pequeño,low,unacc
vhigh,high,4 a más,more,pequeño,med,unacc
vhigh,high,4 a más,more,pequeño,high,unacc
vhigh,high,4 a más,more,mediano,low,unacc
vhigh,high,4 a más,more,mediano,med,unacc
vhigh,high,4 a más,more,mediano,high,unacc
vhigh,high,4 a más,more,grande,low,unacc
vhigh,high,4 a más,more,grande,med,unacc
vhigh,high,4 a más,more,grande,high,unacc
vhigh,high,4 a más,2,pequeño,low,unacc
vhigh,high,4 a más,2,pequeño,med,unacc
vhigh,high,4 a más,2,pequeño,high,unacc
vhigh,high,4 a más,2,mediano,low,unacc
vhigh,high,4 a más,2,mediano,med,unacc
vhigh,high,4 a más,2,mediano,high,unacc
vhigh,high,4 a más,2,grande,low,unacc
vhigh,high,4 a más,2,grande,med,unacc
vhigh,high,4 a más,2,grande,high,unacc
vhigh,high,4 a más,4,pequeño,low,unacc
vhigh,high,4 a más,4,pequeño,med,unacc
vhigh,high,4 a más,4,pequeño,high,unacc
vhigh,high,4 a más,4,mediano,low,unacc
vhigh,high,4 a más,4,mediano,med,unacc
vhigh,high,4 a más,4,mediano,high,unacc
vhigh,high,4 a más,4,grande,low,unacc
vhigh,high,4 a más,4,grande,med,unacc
vhigh,high,4 a más,4,grande,high,unacc
vhigh,high,4 a más,more,pequeño,low,unacc
vhigh,high,4 a más,more,pequeño,med,unacc
vhigh,high,4 a más,more,pequeño,high,unacc
vhigh,high,4 a más,more,mediano,low,unacc
vhigh,high,4 a más,more,mediano,med,unacc
vhigh,high,4 a más,more,mediano,high,unacc
vhigh,high,4 a más,more,grande,low,unacc
vhigh,high,4 a más,more,grande,med,unacc
vhigh,high,4 a más,more,grande,high,unacc
vhigh,med,3 a menos,2,pequeño,low,unacc
vhigh,med,3 a menos,2,pequeño,med,unacc
vhigh,med,3 a menos,2,pequeño,high,unacc
vhigh,med,3 a menos,2,mediano,low,unacc
vhigh,med,3 a menos,2,mediano,med,unacc
vhigh,med,3 a menos,2,mediano,high,unacc
vhigh,med,3 a menos,2,grande,low,unacc
vhigh,med,3 a menos,2,grande,med,unacc
vhigh,med,3 a menos,2,grande,high,unacc
vhigh,med,3 a menos,4,pequeño,low,unacc
vhigh,med,3 a menos,4,pequeño,med,unacc
vhigh,med,3 a menos,4,pequeño,high,acc
vhigh,med,3 a menos,4,mediano,low,unacc
vhigh,med,3 a menos,4,mediano,med,unacc
vhigh,med,3 a menos,4,mediano,high,acc
vhigh,med,3 a menos,4,grande,low,unacc
vhigh,med,3 a menos,4,grande,med,acc
vhigh,med,3 a menos,4,grande,high,acc
vhigh,med,3 a menos,more,pequeño,low,unacc
vhigh,med,3 a menos,more,pequeño,med,unacc
vhigh,med,3 a menos,more,pequeño,high,unacc
vhigh,med,3 a menos,more,mediano,low,unacc
vhigh,med,3 a menos,more,mediano,med,unacc
vhigh,med,3 a menos,more,mediano,high,acc
vhigh,med,3 a menos,more,grande,low,unacc
vhigh,med,3 a menos,more,grande,med,acc
vhigh,med,3 a menos,more,grande,high,acc
vhigh,med,3 a menos,2,pequeño,low,unacc
vhigh,med,3 a menos,2,pequeño,med,unacc
vhigh,med,3 a menos,2,pequeño,high,unacc
vhigh,med,3 a menos,2,mediano,low,unacc
vhigh,med,3 a menos,2,mediano,med,unacc
vhigh,med,3 a menos,2,mediano,high,unacc
vhigh,med,3 a menos,2,grande,low,unacc
vhigh,med,3 a menos,2,grande,med,unacc
vhigh,med,3 a menos,2,grande,high,unacc
vhigh,med,3 a menos,4,pequeño,low,unacc
vhigh,med,3 a menos,4,pequeño,med,unacc
vhigh,med,3 a menos,4,pequeño,high,acc
vhigh,med,3 a menos,4,mediano,low,unacc
vhigh,med,3 a menos,4,mediano,med,unacc
vhigh,med,3 a menos,4,mediano,high,acc
vhigh,med,3 a menos,4,grande,low,unacc
vhigh,med,3 a menos,4,grande,med,acc
vhigh,med,3 a menos,4,grande,high,acc
vhigh,med,3 a menos,more,pequeño,low,unacc
vhigh,med,3 a menos,more,pequeño,med,unacc
vhigh,med,3 a menos,more,pequeño,high,acc
vhigh,med,3 a menos,more,mediano,low,unacc
vhigh,med,3 a menos,more,mediano,med,acc
vhigh,med,3 a menos,more,mediano,high,acc
vhigh,med,3 a menos,more,grande,low,unacc
vhigh,med,3 a menos,more,grande,med,acc
vhigh,med,3 a menos,more,grande,high,acc
vhigh,med,4 a más,2,pequeño,low,unacc
vhigh,med,4 a más,2,pequeño,med,unacc
vhigh,med,4 a más,2,pequeño,high,unacc
vhigh,med,4 a más,2,mediano,low,unacc
vhigh,med,4 a más,2,mediano,med,unacc
vhigh,med,4 a más,2,mediano,high,unacc
vhigh,med,4 a más,2,grande,low,unacc
vhigh,med,4 a más,2,grande,med,unacc
vhigh,med,4 a más,2,grande,high,unacc
vhigh,med,4 a más,4,pequeño,low,unacc
vhigh,med,4 a más,4,pequeño,med,unacc
vhigh,med,4 a más,4,pequeño,high,acc
vhigh,med,4 a más,4,mediano,low,unacc
vhigh,med,4 a más,4,mediano,med,acc
vhigh,med,4 a más,4,mediano,high,acc
vhigh,med,4 a más,4,grande,low,unacc
vhigh,med,4 a más,4,grande,med,acc
vhigh,med,4 a más,4,grande,high,acc
vhigh,med,4 a más,more,pequeño,low,unacc
vhigh,med,4 a más,more,pequeño,med,unacc
vhigh,med,4 a más,more,pequeño,high,acc
vhigh,med,4 a más,more,mediano,low,unacc
vhigh,med,4 a más,more,mediano,med,acc
vhigh,med,4 a más,more,mediano,high,acc
vhigh,med,4 a más,more,grande,low,unacc
vhigh,med,4 a más,more,grande,med,acc
vhigh,med,4 a más,more,grande,high,acc
vhigh,med,4 a más,2,pequeño,low,unacc
vhigh,med,4 a más,2,pequeño,med,unacc
vhigh,med,4 a más,2,pequeño,high,unacc
vhigh,med,4 a más,2,mediano,low,unacc
vhigh,med,4 a más,2,mediano,med,unacc
vhigh,med,4 a más,2,mediano,high,unacc
vhigh,med,4 a más,2,grande,low,unacc
vhigh,med,4 a más,2,grande,med,unacc
vhigh,med,4 a más,2,grande,high,unacc
vhigh,med,4 a más,4,pequeño,low,unacc
vhigh,med,4 a más,4,pequeño,med,unacc
vhigh,med,4 a más,4,pequeño,high,acc
vhigh,med,4 a más,4,mediano,low,unacc
vhigh,med,4 a más,4,mediano,med,acc
vhigh,med,4 a más,4,mediano,high,acc
vhigh,med,4 a más,4,grande,low,unacc
vhigh,med,4 a más,4,grande,med,acc
vhigh,med,4 a más,4,grande,high,acc
vhigh,med,4 a más,more,pequeño,low,unacc
vhigh,med,4 a más,more,pequeño,med,unacc
vhigh,med,4 a más,more,pequeño,high,acc
vhigh,med,4 a más,more,mediano,low,unacc
vhigh,med,4 a más,more,mediano,med,acc
vhigh,med,4 a más,more,mediano,high,acc
vhigh,med,4 a más,more,grande,low,unacc
vhigh,med,4 a más,more,grande,med,acc
vhigh,med,4 a más,more,grande,high,acc
vhigh,low,3 a menos,2,pequeño,low,unacc
vhigh,low,3 a menos,2,pequeño,med,unacc
vhigh,low,3 a menos,2,pequeño,high,unacc
vhigh,low,3 a menos,2,mediano,low,unacc
vhigh,low,3 a menos,2,mediano,med,unacc
vhigh,low,3 a menos,2,mediano,high,unacc
vhigh,low,3 a menos,2,grande,low,unacc
vhigh,low,3 a menos,2,grande,med,unacc
vhigh,low,3 a menos,2,grande,high,unacc
vhigh,low,3 a menos,4,pequeño,low,unacc
vhigh,low,3 a menos,4,pequeño,med,unacc
vhigh,low,3 a menos,4,pequeño,high,acc
vhigh,low,3 a menos,4,mediano,low,unacc
vhigh,low,3 a menos,4,mediano,med,unacc
vhigh,low,3 a menos,4,mediano,high,acc
vhigh,low,3 a menos,4,grande,low,unacc
vhigh,low,3 a menos,4,grande,med,acc
vhigh,low,3 a menos,4,grande,high,acc
vhigh,low,3 a menos,more,pequeño,low,unacc
vhigh,low,3 a menos,more,pequeño,med,unacc
vhigh,low,3 a menos,more,pequeño,high,unacc
vhigh,low,3 a menos,more,mediano,low,unacc
vhigh,low,3 a menos,more,mediano,med,unacc
vhigh,low,3 a menos,more,mediano,high,acc
vhigh,low,3 a menos,more,grande,low,unacc
vhigh,low,3 a menos,more,grande,med,acc
vhigh,low,3 a menos,more,grande,high,acc
vhigh,low,3 a menos,2,pequeño,low,unacc
vhigh,low,3 a menos,2,pequeño,med,unacc
vhigh,low,3 a menos,2,pequeño,high,unacc
vhigh,low,3 a menos,2,mediano,low,unacc
vhigh,low,3 a menos,2,mediano,med,unacc
vhigh,low,3 a menos,2,mediano,high,unacc
vhigh,low,3 a menos,2,grande,low,unacc
vhigh,low,3 a menos,2,grande,med,unacc
vhigh,low,3 a menos,2,grande,high,unacc
vhigh,low,3 a menos,4,pequeño,low,unacc
vhigh,low,3 a menos,4,pequeño,med,unacc
vhigh,low,3 a menos,4,pequeño,high,acc
vhigh,low,3 a menos,4,mediano,low,unacc
vhigh,low,3 a menos,4,mediano,med,unacc
vhigh,low,3 a menos,4,mediano,high,acc
vhigh,low,3 a menos,4,grande,low,unacc
vhigh,low,3 a menos,4,grande,med,acc
vhigh,low,3 a menos,4,grande,high,acc
vhigh,low,3 a menos,more,pequeño,low,unacc
vhigh,low,3 a menos,more,pequeño,med,unacc
vhigh,low,3 a menos,more,pequeño,high,acc
vhigh,low,3 a menos,more,mediano,low,unacc
vhigh,low,3 a menos,more,mediano,med,acc
vhigh,low,3 a menos,more,mediano,high,acc
vhigh,low,3 a menos,more,grande,low,unacc
vhigh,low,3 a menos,more,grande,med,acc
vhigh,low,3 a menos,more,grande,high,acc
vhigh,low,4 a más,2,pequeño,low,unacc
vhigh,low,4 a más,2,pequeño,med,unacc
vhigh,low,4 a más,2,pequeño,high,unacc
vhigh,low,4 a más,2,mediano,low,unacc
vhigh,low,4 a más,2,mediano,med,unacc
vhigh,low,4 a más,2,mediano,high,unacc
vhigh,low,4 a más,2,grande,low,unacc
vhigh,low,4 a más,2,grande,med,unacc
vhigh,low,4 a más,2,grande,high,unacc
vhigh,low,4 a más,4,pequeño,low,unacc
vhigh,low,4 a más,4,pequeño,med,unacc
vhigh,low,4 a más,4,pequeño,high,acc
vhigh,low,4 a más,4,mediano,low,unacc
vhigh,low,4 a más,4,mediano,med,acc
vhigh,low,4 a más,4,mediano,high,acc
vhigh,low,4 a más,4,grande,low,unacc
vhigh,low,4 a más,4,grande,med,acc
vhigh,low,4 a más,4,grande,high,acc
vhigh,low,4 a más,more,pequeño,low,unacc
vhigh,low,4 a más,more,pequeño,med,unacc
vhigh,low,4 a más,more,pequeño,high,acc
vhigh,low,4 a más,more,mediano,low,unacc
vhigh,low,4 a más,more,mediano,med,acc
vhigh,low,4 a más,more,mediano,high,acc
vhigh,low,4 a más,more,grande,low,unacc
vhigh,low,4 a más,more,grande,med,acc
vhigh,low,4 a más,more,grande,high,acc
vhigh,low,4 a más,2,pequeño,low,unacc
vhigh,low,4 a más,2,pequeño,med,unacc
vhigh,low,4 a más,2,pequeño,high,unacc
vhigh,low,4 a más,2,mediano,low,unacc
vhigh,low,4 a más,2,mediano,med,unacc
vhigh,low,4 a más,2,mediano,high,unacc
vhigh,low,4 a más,2,grande,low,unacc
vhigh,low,4 a más,2,grande,med,unacc
vhigh,low,4 a más,2,grande,high,unacc
vhigh,low,4 a más,4,pequeño,low,unacc
vhigh,low,4 a más,4,pequeño,med,unacc
vhigh,low,4 a más,4,pequeño,high,acc
vhigh,low,4 a más,4,mediano,low,unacc
vhigh,low,4 a más,4,mediano,med,acc
vhigh,low,4 a más,4,mediano,high,acc
vhigh,low,4 a más,4,grande,low,unacc
vhigh,low,4 a más,4,grande,med,acc
vhigh,low,4 a más,4,grande,high,acc
vhigh,low,4 a más,more,pequeño,low,unacc
vhigh,low,4 a más,more,pequeño,med,unacc
vhigh,low,4 a más,more,pequeño,high,acc
vhigh,low,4 a más,more,mediano,low,unacc
vhigh,low,4 a más,more,mediano,med,acc
vhigh,low,4 a más,more,mediano,high,acc
vhigh,low,4 a más,more,grande,low,unacc
vhigh,low,4 a más,more,grande,med,acc
vhigh,low,4 a más,more,grande,high,acc
high,vhigh,3 a menos,2,pequeño,low,unacc
high,vhigh,3 a menos,2,pequeño,med,unacc
high,vhigh,3 a menos,2,pequeño,high,unacc
high,vhigh,3 a menos,2,mediano,low,unacc
high,vhigh,3 a menos,2,mediano,med,unacc
high,vhigh,3 a menos,2,mediano,high,unacc
high,vhigh,3 a menos,2,grande,low,unacc
high,vhigh,3 a menos,2,grande,med,unacc
high,vhigh,3 a menos,2,grande,high,unacc
high,vhigh,3 a menos,4,pequeño,low,unacc
high,vhigh,3 a menos,4,pequeño,med,unacc
high,vhigh,3 a menos,4,pequeño,high,unacc
high,vhigh,3 a menos,4,mediano,low,unacc
high,vhigh,3 a menos,4,mediano,med,unacc
high,vhigh,3 a menos,4,mediano,high,unacc
high,vhigh,3 a menos,4,grande,low,unacc
high,vhigh,3 a menos,4,grande,med,unacc
high,vhigh,3 a menos,4,grande,high,unacc
high,vhigh,3 a menos,more,pequeño,low,unacc
high,vhigh,3 a menos,more,pequeño,med,unacc
high,vhigh,3 a menos,more,pequeño,high,unacc
high,vhigh,3 a menos,more,mediano,low,unacc
high,vhigh,3 a menos,more,mediano,med,unacc
high,vhigh,3 a menos,more,mediano,high,unacc
high,vhigh,3 a menos,more,grande,low,unacc
high,vhigh,3 a menos,more,grande,med,unacc
high,vhigh,3 a menos,more,grande,high,unacc
high,vhigh,3 a menos,2,pequeño,low,unacc
high,vhigh,3 a menos,2,pequeño,med,unacc
high,vhigh,3 a menos,2,pequeño,high,unacc
high,vhigh,3 a menos,2,mediano,low,unacc
high,vhigh,3 a menos,2,mediano,med,unacc
high,vhigh,3 a menos,2,mediano,high,unacc
high,vhigh,3 a menos,2,grande,low,unacc
high,vhigh,3 a menos,2,grande,med,unacc
high,vhigh,3 a menos,2,grande,high,unacc
high,vhigh,3 a menos,4,pequeño,low,unacc
high,vhigh,3 a menos,4,pequeño,med,unacc
high,vhigh,3 a menos,4,pequeño,high,unacc
high,vhigh,3 a menos,4,mediano,low,unacc
high,vhigh,3 a menos,4,mediano,med,unacc
high,vhigh,3 a menos,4,mediano,high,unacc
high,vhigh,3 a menos,4,grande,low,unacc
high,vhigh,3 a menos,4,grande,med,unacc
high,vhigh,3 a menos,4,grande,high,unacc
high,vhigh,3 a menos,more,pequeño,low,unacc
high,vhigh,3 a menos,more,pequeño,med,unacc
high,vhigh,3 a menos,more,pequeño,high,unacc
high,vhigh,3 a menos,more,mediano,low,unacc
high,vhigh,3 a menos,more,mediano,med,unacc
high,vhigh,3 a menos,more,mediano,high,unacc
high,vhigh,3 a menos,more,grande,low,unacc
high,vhigh,3 a menos,more,grande,med,unacc
high,vhigh,3 a menos,more,grande,high,unacc
high,vhigh,4 a más,2,pequeño,low,unacc
high,vhigh,4 a más,2,pequeño,med,unacc
high,vhigh,4 a más,2,pequeño,high,unacc
high,vhigh,4 a más,2,mediano,low,unacc
high,vhigh,4 a más,2,mediano,med,unacc
high,vhigh,4 a más,2,mediano,high,unacc
high,vhigh,4 a más,2,grande,low,unacc
high,vhigh,4 a más,2,grande,med,unacc
high,vhigh,4 a más,2,grande,high,unacc
high,vhigh,4 a más,4,pequeño,low,unacc
high,vhigh,4 a más,4,pequeño,med,unacc
high,vhigh,4 a más,4,pequeño,high,unacc
high,vhigh,4 a más,4,mediano,low,unacc
high,vhigh,4 a más,4,mediano,med,unacc
high,vhigh,4 a más,4,mediano,high,unacc
high,vhigh,4 a más,4,grande,low,unacc
high,vhigh,4 a más,4,grande,med,unacc
high,vhigh,4 a más,4,grande,high,unacc
high,vhigh,4 a más,more,pequeño,low,unacc
high,vhigh,4 a más,more,pequeño,med,unacc
high,vhigh,4 a más,more,pequeño,high,unacc
high,vhigh,4 a más,more,mediano,low,unacc
high,vhigh,4 a más,more,mediano,med,unacc
high,vhigh,4 a más,more,mediano,high,unacc
high,vhigh,4 a más,more,grande,low,unacc
high,vhigh,4 a más,more,grande,med,unacc
high,vhigh,4 a más,more,grande,high,unacc
high,vhigh,4 a más,2,pequeño,low,unacc
high,vhigh,4 a más,2,pequeño,med,unacc
high,vhigh,4 a más,2,pequeño,high,unacc
high,vhigh,4 a más,2,mediano,low,unacc
high,vhigh,4 a más,2,mediano,med,unacc
high,vhigh,4 a más,2,mediano,high,unacc
high,vhigh,4 a más,2,grande,low,unacc
high,vhigh,4 a más,2,grande,med,unacc
high,vhigh,4 a más,2,grande,high,unacc
high,vhigh,4 a más,4,pequeño,low,unacc
high,vhigh,4 a más,4,pequeño,med,unacc
high,vhigh,4 a más,4,pequeño,high,unacc
high,vhigh,4 a más,4,mediano,low,unacc
high,vhigh,4 a más,4,mediano,med,unacc
high,vhigh,4 a más,4,mediano,high,unacc
high,vhigh,4 a más,4,grande,low,unacc
high,vhigh,4 a más,4,grande,med,unacc
high,vhigh,4 a más,4,grande,high,unacc
high,vhigh,4 a más,more,pequeño,low,unacc
high,vhigh,4 a más,more,pequeño,med,unacc
high,vhigh,4 a más,more,pequeño,high,unacc
high,vhigh,4 a más,more,mediano,low,unacc
high,vhigh,4 a más,more,mediano,med,unacc
high,vhigh,4 a más,more,mediano,high,unacc
high,vhigh,4 a más,more,grande,low,unacc
high,vhigh,4 a más,more,grande,med,unacc
high,vhigh,4 a más,more,grande,high,unacc
high,high,3 a menos,2,pequeño,low,unacc
high,high,3 a menos,2,pequeño,med,unacc
high,high,3 a menos,2,pequeño,high,unacc
high,high,3 a menos,2,mediano,low,unacc
high,high,3 a menos,2,mediano,med,unacc
high,high,3 a menos,2,mediano,high,unacc
high,high,3 a menos,2,grande,low,unacc
high,high,3 a menos,2,grande,med,unacc
high,high,3 a menos,2,grande,high,unacc
high,high,3 a menos,4,pequeño,low,unacc
high,high,3 a menos,4,pequeño,med,unacc
high,high,3 a menos,4,pequeño,high,acc
high,high,3 a menos,4,mediano,low,unacc
high,high,3 a menos,4,mediano,med,unacc
high,high,3 a menos,4,mediano,high,acc
high,high,3 a menos,4,grande,low,unacc
high,high,3 a menos,4,grande,med,acc
high,high,3 a menos,4,grande,high,acc
high,high,3 a menos,more,pequeño,low,unacc
high,high,3 a menos,more,pequeño,med,unacc
high,high,3 a menos,more,pequeño,high,unacc
